,title,artist,top genre,year released,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,top year,artist type
798,Juju on That Beat (TZ Anthem),Zay Hilfigerrr,hip hop,2016.0,2021‑01‑28,161.0,89.0,81.0,-4.0,39.0,78.0,144.0,0.0,28.0,62.0,2017.0,Solo
799,Stay,Zedd,complextro,2017.0,2021‑01‑28,102.0,62.0,69.0,-5.0,12.0,54.0,210.0,25.0,6.0,80.0,2017.0,Solo
801,FEFE,6ix9ine,emo rap,2018.0,2020‑06‑22,126.0,39.0,93.0,-9.0,14.0,38.0,179.0,9.0,41.0,75.0,2018.0,Solo
802,GUMMO,6ix9ine,emo rap,2018.0,2020‑06‑22,157.0,78.0,66.0,-5.0,13.0,64.0,158.0,6.0,17.0,67.0,2018.0,Solo
803,God is a woman,Ariana Grande,dance pop,2018.0,2020‑06‑22,145.0,66.0,60.0,-6.0,24.0,27.0,198.0,2.0,6.0,83.0,2018.0,Solo
804,no tears left to cry,Ariana Grande,dance pop,2018.0,2020‑06‑22,122.0,71.0,70.0,-6.0,29.0,35.0,206.0,4.0,6.0,82.0,2018.0,Solo
807,Mine,Bazzi,dance pop,2018.0,2020‑06‑22,143.0,79.0,71.0,-4.0,45.0,72.0,131.0,2.0,7.0,80.0,2018.0,Solo
809,lovely (with Khalid),Billie Eilish,art pop,2018.0,2020‑06‑22,115.0,30.0,35.0,-10.0,10.0,12.0,200.0,93.0,3.0,91.0,2018.0,Solo
810,Look Alive (feat. Drake),BlocBoy JB,memphis hip hop,2018.0,2020‑06‑22,140.0,58.0,92.0,-7.0,11.0,60.0,181.0,0.0,27.0,78.0,2018.0,Solo
811,Finesse - Remix; feat. Cardi B,Bruno Mars,dance pop,2017.0,2020‑06‑22,105.0,86.0,70.0,-5.0,2.0,93.0,217.0,2.0,10.0,78.0,2018.0,Solo
812,One Kiss (with Dua Lipa),Calvin Harris,dance pop,2018.0,2020‑06‑22,124.0,86.0,79.0,-3.0,8.0,59.0,215.0,4.0,11.0,86.0,2018.0,Solo
813,Never Be the Same,Camila Cabello,dance pop,2018.0,2020‑06‑22,130.0,71.0,64.0,-4.0,14.0,24.0,227.0,18.0,7.0,79.0,2018.0,Solo
814,I Like It,Cardi B,dance pop,2018.0,2020‑06‑22,136.0,73.0,82.0,-4.0,37.0,65.0,253.0,10.0,13.0,83.0,2018.0,Solo
815,Bodak Yellow,Cardi B,dance pop,2018.0,2020‑06‑22,125.0,70.0,93.0,-6.0,23.0,49.0,224.0,7.0,10.0,77.0,2018.0,Solo
816,Be Careful,Cardi B,dance pop,2018.0,2020‑06‑22,152.0,57.0,82.0,-8.0,10.0,54.0,211.0,3.0,41.0,72.0,2018.0,Solo
818,How Long,Charlie Puth,dance pop,2018.0,2020‑06‑22,110.0,56.0,85.0,-5.0,4.0,81.0,201.0,21.0,8.0,77.0,2018.0,Solo
819,Done for Me (feat. Kehlani),Charlie Puth,dance pop,2018.0,2021‑08‑17,112.0,63.0,86.0,-4.0,7.0,70.0,180.0,19.0,7.0,72.0,2018.0,Solo
820,The Way I Am,Charlie Puth,dance pop,2018.0,2021‑08‑17,115.0,77.0,76.0,-6.0,6.0,64.0,186.0,31.0,19.0,68.0,2018.0,Solo
821,This Is America,Childish Gambino,atl hip hop,2018.0,2020‑06‑22,120.0,46.0,85.0,-6.0,35.0,55.0,226.0,12.0,14.0,75.0,2018.0,Solo
824,No Brainer,DJ Khaled,dance pop,2018.0,2020‑06‑22,136.0,76.0,55.0,-5.0,9.0,64.0,260.0,7.0,34.0,71.0,2018.0,Solo
826,Nonstop,Drake,canadian hip hop,2018.0,2020‑06‑22,155.0,41.0,91.0,-8.0,10.0,42.0,239.0,2.0,12.0,82.0,2018.0,Solo
829,I'm Upset,Drake,canadian hip hop,2018.0,2020‑06‑22,150.0,59.0,90.0,-8.0,8.0,49.0,214.0,28.0,34.0,73.0,2018.0,Solo
831,In My Mind,Dynoro,edm,2018.0,2020‑06‑22,126.0,77.0,69.0,-5.0,12.0,16.0,185.0,18.0,15.0,83.0,2018.0,Solo
835,German,EO,afroswing,2018.0,2020‑06‑22,103.0,58.0,86.0,-6.0,19.0,85.0,171.0,81.0,7.0,71.0,2018.0,Solo
836,Let's Fall in Love for the Night,FINNEAS,alt z,2018.0,2021‑06‑15,128.0,41.0,74.0,-8.0,17.0,37.0,190.0,80.0,10.0,77.0,2018.0,Solo
839,Shotgun,George Ezra,folk-pop,2018.0,2020‑06‑22,116.0,74.0,67.0,-5.0,24.0,75.0,201.0,29.0,5.0,81.0,2018.0,Solo
840,Paradise,George Ezra,folk-pop,2018.0,2020‑06‑22,138.0,88.0,64.0,-4.0,21.0,91.0,222.0,21.0,4.0,73.0,2018.0,Solo
841,we fell in love in october,girl in red,bedroom pop,2018.0,2021‑03‑02,130.0,37.0,57.0,-13.0,16.0,24.0,184.0,11.0,3.0,88.0,2018.0,Solo
842,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,dance pop,2017.0,2020‑06‑22,103.0,71.0,66.0,-4.0,8.0,74.0,175.0,3.0,5.0,81.0,2018.0,Solo
843,Bad At Love,Halsey,dance pop,2017.0,2020‑06‑22,118.0,75.0,68.0,-4.0,9.0,61.0,181.0,6.0,3.0,77.0,2018.0,Solo
846,Make Me Feel,Janelle Monáe,afrofuturism,2018.0,2021‑06‑15,115.0,41.0,86.0,-7.0,33.0,70.0,194.0,13.0,18.0,68.0,2018.0,Solo
847,You Make It Easy,Jason Aldean,contemporary country,2018.0,2020‑06‑22,132.0,57.0,38.0,-5.0,11.0,41.0,197.0,14.0,3.0,74.0,2018.0,Solo
848,"King's Dead (with Kendrick Lamar, Future & James Blake)",Jay Rock,conscious hip hop,2018.0,2020‑06‑22,137.0,71.0,65.0,-5.0,13.0,38.0,230.0,0.0,30.0,76.0,2018.0,Solo
849,Rise,Jonas Blue,dance pop,2018.0,2020‑06‑22,106.0,79.0,69.0,-5.0,20.0,66.0,194.0,33.0,3.0,74.0,2018.0,Solo
851,LOVE. FEAT. ZACARI.,Kendrick Lamar,conscious hip hop,2017.0,2020‑08‑11,126.0,59.0,80.0,-7.0,15.0,78.0,213.0,26.0,9.0,85.0,2018.0,Solo
853,Love Lies (with Normani),Khalid,pop,2018.0,2020‑06‑22,144.0,65.0,71.0,-6.0,13.0,34.0,202.0,10.0,4.0,78.0,2018.0,Solo
856,Yes Indeed,Lil Baby,atl hip hop,2018.0,2020‑06‑22,120.0,35.0,96.0,-9.0,11.0,56.0,142.0,4.0,53.0,84.0,2018.0,Solo
857,Freaky Friday (feat. Chris Brown),Lil Dicky,comedy rap,2018.0,2020‑06‑22,133.0,60.0,76.0,-5.0,11.0,76.0,217.0,15.0,22.0,74.0,2018.0,Solo
858,Everyday,Logic,conscious hip hop,2018.0,2021‑08‑17,150.0,74.0,67.0,-4.0,8.0,42.0,205.0,4.0,4.0,74.0,2018.0,Solo
862,Corazón (feat. Nego do Borel),Maluma,latin,2018.0,2020‑06‑22,198.0,74.0,72.0,-6.0,20.0,75.0,185.0,33.0,25.0,74.0,2018.0,Solo
865,Silence,Marshmello,brostep,2017.0,2020‑06‑22,142.0,76.0,52.0,-3.0,17.0,29.0,181.0,26.0,9.0,84.0,2018.0,Solo
867,Spotlight,Marshmello,brostep,2018.0,2021‑08‑17,150.0,82.0,55.0,-4.0,74.0,62.0,178.0,1.0,15.0,76.0,2018.0,Solo
871,17,MK,dance pop,2017.0,2020‑06‑22,122.0,83.0,70.0,-7.0,7.0,67.0,196.0,0.0,7.0,69.0,2018.0,Solo
872,Let You Down,NF,hip hop,2017.0,2020‑06‑22,148.0,71.0,66.0,-6.0,18.0,46.0,212.0,31.0,12.0,84.0,2018.0,Solo
877,rockstar (feat. 21 Savage),Post Malone,dfw rap,2018.0,2020‑06‑22,160.0,52.0,59.0,-6.0,13.0,13.0,218.0,12.0,7.0,87.0,2018.0,Solo
